benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean,m4c_rank_score,m4c_rank_bucket,m4c_rank_reason,family_rank,family_normalized_approx_delta,m4d_rank_score,m4d_family_normalized_approx_delta,m4d_cross_family_rank,m4d_rank_reason
ibm01,m4d-default,m4b_r0_m9_m13_spread,m4b_region_repair,True,False,True,False,True,scored,1.0394166707992554,25.13986587524414,False,True,False,96a790fe,6,True,0,1d09ca12,"[9, 13]",spread,legalized,,2.1435699462890625,25.13986587524414,2.5,2.5,0.3288546088042454,exploration,exploration:fifo_position=1,88,0.3288546088042454,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m3a_p5_9_42_right,m3a_pair_refinement,True,False,True,False,True,scored,1.041245460510254,,False,True,False,d0606ccf,4,True,,,,right,,,,,,,,,,,,,,,family=m3a_pair_refinement approx_null=True excluded
ibm01,m4d-default,original_refinement_m243_grid_p0_p1,original_refinement,True,False,True,False,True,scored,1.0514413118362427,-25.467365264892578,False,True,False,8328f762,2,True,,,,,,,,,,,,,,,,0.04697986577181208,0.4459830016059027,13,family=original_refinement rank=8/150 percentile=0.046980
ibm01,m4d-default,original_neighborhood_m243_up_s,original_neighborhood,True,False,True,False,True,scored,1.055680751800537,-30.71999740600586,False,True,False,0d059148,1,True,,,,up_s,,,,,,,,,,,,0.012987012987012988,0.32835631117315883,5,family=original_neighborhood rank=2/78 percentile=0.012987
ibm01,m4d-default,m4b_r2_m19_m243_spread,m4b_region_repair,True,False,True,False,True,scored,1.057901382446289,-36.63977909088135,False,True,False,ea69c5df,6,True,2,93687c46,"[19, 243]",spread,legalized,,19.98225688934326,-36.63977909088135,1.8027756377319946,0.9013879321148227,0.03127243175513044,ranked,ranked:family_rank=2,2,0.03127243175513044,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r2_m19_m243_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.082312822341919,-43.132102489471436,False,True,False,d0a46ec6,6,True,2,93687c46,"[19, 243]",centroid_shift,legalized,,-47.132102489471436,-43.132102489471436,2.0,2.0,0.0,ranked,ranked:family_rank=1,1,0.0,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,original_refinement_m243_scale1p5x,original_refinement,True,False,True,False,True,scored,1.1204311847686768,-57.25388813018799,False,True,False,34b31537,2,True,,,,,,,,,,,,,,,,0.026845637583892617,0.047341928790802054,9,family=original_refinement rank=5/150 percentile=0.026846
ibm01,m4d-default,original_neighborhood_m150_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1348772048950195,-3.8581275939941406,False,True,False,ef244fd4,1,True,,,,toward_centroid,,,,,,,,,,,,0.09090909090909091,0.6707491332912608,24,family=original_neighborhood rank=8/78 percentile=0.090909
ibm01,m4d-default,original_line_search_m215_scale3x,original_line_search,True,False,True,False,True,scored,1.1395759582519531,-9.079095840454102,False,True,False,711441ae,3,True,,,,,,,,,,,,,,,,0.10526315789473684,0.2551720610533127,28,family=original_line_search rank=3/20 percentile=0.105263
ibm01,m4d-default,original_neighborhood_m30_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1397356986999512,-2.9083709716796875,False,True,False,97eafb5b,1,True,,,,toward_centroid,,,,,,,,,,,,0.2597402597402597,0.6828551353125418,65,family=original_neighborhood rank=21/78 percentile=0.259740
ibm01,m4d-default,original_refinement_m173_scale2x,original_refinement,True,False,True,False,True,scored,1.140441656112671,-8.076818466186523,False,True,False,56cedefe,2,True,,,,,,,,,,,,,,,,0.1342281879194631,0.6640812900552634,35,family=original_refinement rank=21/150 percentile=0.134228
ibm01,m4d-default,original_refinement_m173_scale1p5x,original_refinement,True,False,True,False,True,scored,1.140447974205017,-6.10853385925293,False,True,False,2610804e,2,True,,,,,,,,,,,,,,,,0.2080536912751678,0.6887659367729491,53,family=original_refinement rank=32/150 percentile=0.208054
ibm01,m4d-default,original_neighborhood_m173_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1404544115066528,-4.109973907470703,False,True,False,84665c2b,1,True,,,,toward_centroid,,,,,,,,,,,,0.05194805194805195,0.6675389930212517,14,family=original_neighborhood rank=5/78 percentile=0.051948
ibm01,m4d-default,original_neighborhood_m209_down_s,original_neighborhood,True,False,True,False,True,scored,1.1404612064361572,-2.8799972534179688,False,True,False,f8e1b692,1,True,,,,down_s,,,,,,,,,,,,0.2727272727272727,0.6832167987982785,69,family=original_neighborhood rank=22/78 percentile=0.272727
