benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage
ibm01,m3c-default,m3a_p11_29_154_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p11_29_154_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p11_29_154_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p11_29_154_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p12_31_157_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p12_31_157_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p12_31_157_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p12_31_157_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p12_31_157_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p12_31_157_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p13_33_39_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p13_33_39_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p13_33_39_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p13_33_39_left,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,04af0019,4
ibm01,m3c-default,m3a_p13_33_39_right,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,9b66683e,4
ibm01,m3c-default,m3a_p13_33_39_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p14_33_235_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p14_33_235_below,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,708e444e,4
ibm01,m3c-default,m3a_p14_33_235_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p14_33_235_left,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,dcd0a4ef,4
ibm01,m3c-default,m3a_p14_33_235_right,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,867018c8,4
ibm01,m3c-default,m3a_p14_33_235_swap,m3a_pair_refinement,True,False,False,True,False,m3c_not_admitted,,,False,False,False,5a16fa19,4
ibm01,m3c-default,m3a_p15_35_116_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p15_35_116_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p15_35_116_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p15_35_116_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p15_35_116_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p15_35_116_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p16_38_77_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p16_38_77_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p16_38_77_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p16_38_77_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p16_38_77_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p16_38_77_swap,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p17_38_184_above,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p17_38_184_below,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p17_38_184_centroid_shift,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p17_38_184_left,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
ibm01,m3c-default,m3a_p17_38_184_right,m3a_pair_refinement,False,False,True,False,False,invalid,,,False,False,False,,4
